Чек-лист и результаты выполнения тестов: тестирование вёрстки,,,,
,,,,
№,Описание проверки,Статус Окружение 1,Статус Окружение 2,Ссылка на баг-репорт
Блок выбора тарифа,,,,
1,"Блок выбора тарифа расположен вверху формы бронирования каршеринга под блоком для ввода  адресов ""Откуда"" и ""Куда""",PASSED,PASSED,
2,"Для выбора доступно три тарифа: ""Повседневный"", ""Походный"", ""Роскошный""",PASSED,PASSED,
3,"В кнопке тарифа содержатся один под другим с выравниванием по горизонтали по левому краю иконка машины, название тарифа, стоимость поездки",PASSED,PASSED,
4,Выбранный тариф подсвечивается серым,PASSED,PASSED,
5,"Текст в кнопке выбранного тарифа черный, в отсальных - серый",PASSED,PASSED,
6,"Содержимое кнопки тарифа ""Повседневный"": иконка с изображением серого седана, текст названия тарифа ""Повседневный"", текст стоимости ""159 ₽""",PASSED,PASSED,
7,"Содержимое кнопки тарифа ""Походный"": иконка с изображением синего хэтчбека, текст названия тарифа ""Походный"", текст стоимости ""176 ₽""",PASSED,PASSED,
8,"Содержимое кнопки тарифа ""Роскошный"": иконка с изображением зеленого кабриолета с двумя черными полосами, текст названия тарифа ""Роскошный"", текст стоимости ""201 ₽""",PASSED,PASSED,
9,"По умолчанию выбран тариф ""Повседневный""",PASSED,PASSED,
10,"Клик по иконке со стрелкой, которая располагается в верхнем левом углу формы, меняет блок формы бронирования на блок выбора способа передвижения",PASSED,PASSED,
11,"Над блоком выбора тарифа располагается кнопка, нажатие которой возвращает к блоку выбора способа передвидения",PASSED,PASSED,
12,Кнопка возрата к болку выбора способа передвижения предстваляет собой серый кружок с белой стрелкой внутри направленной влево,PASSED,PASSED,
Блок с деталями тарифа по умолчанию,,,,
13,Под выбранным тарифом расположен блок с деталями тарифа и информацией о ближайшей машине,PASSED,PASSED,
14,В блоке с информацей о тарифе есть сведение о марке автомобиля,PASSED,PASSED,
15,Сведения о марке автомобиля расположено в верхней части блока,PASSED,PASSED,
16,Цвет шрифта текста сведения о марке автомобиля - черный,PASSED,PASSED,
17,"По умолчанию выбран тариф ""Повседневный"", марка автомобиля  - BMW 750",PASSED,PASSED,
18,В блоке с информацей о тарифе есть описание тарифа,PASSED,PASSED,
19,Описание тарифа расположено в заголовке ниже сведения о марке,PASSED,PASSED,
20,Цвет шрифта текста описания тарифа - черный,PASSED,PASSED,
21,"По умолчанию выбран тариф ""Повседневный"", в описании тарифа указано - ""Просто по делам, ничего лишнего""",PASSED,PASSED,
22,В блоке с информацией о тарифе в подзаголовке есть сведения о времени в пути от пункта «Откуда» до машины и о времени бесплатного ожидания,PASSED,PASSED,
23,Сведения о времени расположены ниже описания тарифа,PASSED,PASSED,
24,Цвет шрифта текста сведения о времени - серый,PASSED,PASSED,
25,"По умолчанию выбран тариф ""Повседневный"", в сведениях о времени указано - ""n мин —15 минут бесплатного ожидания"", где n - времени в пути от пункта «Откуда» до машины ",FAILED,FAILED,https://tracker.yandex.ru/BUG-494977
26,В блоке с информацией о тарифе есть изображение машины,PASSED,PASSED,
27,Изображение машины раположено ниже сведения о времени,PASSED,PASSED,
28,"По умолчанию выбран тариф ""Повседневный"", изображение машины - серый седан BMW 750",PASSED,PASSED,
29,В блоке с инормацией о тарифе есть строка с фичами,PASSED,PASSED,
30,Фичи расположены под изображением машины,PASSED,PASSED,
31,Цвет шрифта текста фичей - серый,PASSED,PASSED,
32,"По умолчанию выбран тариф ""Повседневный"", в фичах указано:   - видеорегистратор
                                                                                                    - зарядка для телефона",FAILED,FAILED,https://tracker.yandex.ru/BUG-495119
33,Фичи расположены одна под другой,FAILED,FAILED,https://tracker.yandex.ru/BUG-495181
"Блок с деталями тарифа для тарифа ""Роскошный""",,,,
34,"После выбора тарифа ""Роскошный"" описание тарифа изменяется, согласно этому тарифу",PASSED,PASSED,
35,"Согласно тарифу ""Роскошный"" марка машины - Porsche 911",PASSED,PASSED,
36,"Согласно тарифу ""Роскошный"" в заголовке указано ""Блеск, мощь, глянец""",PASSED,PASSED,
37,"Согласно тарифу ""Роскошный"" в подзаголвке указано ""n мин — 10 минут бесплатного ожидания"", где n - времени в пути от пункта «Откуда» до машины",FAILED,FAILED,https://tracker.yandex.ru/BUG-495372
38,"Согласно тарифу ""Роскошный"" изображение машины - зеленый Porsche 911 с двумя черными полосами и с двумя белыми звездочками",FAILED,FAILED,https://tracker.yandex.ru/BUG-495445
39,"Согласно тарифу ""Роскошный"" в фичах указано:     - светомузыка
                                                                               - напитки для гостей",FAILED,FAILED,https://tracker.yandex.ru/BUG-495467
40,Фичи расположены одна под другой,FAILED,FAILED,https://tracker.yandex.ru/BUG-495482
Карта,,,,
41,На карте отображается построенный маршрут,PASSED,PASSED,
